,feature,coef
0,abattu,[2.34934096]
1,abord,[-0.69280143]
2,aborder,[2.13471182]
3,absolument,[2.04675551]
4,accepté,[-1.50211994]
5,accord,[-0.04268956]
6,accusé,[0.83577164]
7,acheter,[-2.1615187]
8,acte,[3.30349785]
9,adressé,[3.06279237]
10,affaire,[2.79405644]
11,agent,[-8.11447282]
12,agent raymond,[-0.92370376]
13,agents,[-0.24188403]
14,agissait,[0.37741146]
15,aider,[-0.68957948]
16,aije,[2.19504377]
17,aije dit,[0.74326558]
18,ailleurs,[2.49211002]
19,aimais,[-3.002193]
20,aimait,[-2.83400504]
21,aime,[-3.62801678]
22,aimé,[0.55183186]
23,ainsi,[2.45178465]
24,air,[-4.91802982]
25,air très,[1.80940265]
26,ajouter,[0.63086666]
27,ajouté,[1.67639551]
28,alger,[-3.04436746]
29,allaient,[-0.52515313]
30,allais,[1.11631325]
31,allait,[-2.15322753]
32,aller,[-5.21595849]
33,aller chez,[-1.99666589]
34,allez,[0.46374466]
35,allure,[-1.5590984]
36,allé,[1.29057574]
37,alors,[-6.19358371]
38,alors retourné,[1.31662754]
39,alors si,[-4.60975503]
40,ami,[-0.0193056]
41,amie,[-1.36060808]
42,amis,[-2.8086218]
43,années,[-3.71603161]
44,ans,[1.86321313]
45,aperçu,[-3.31315345]
46,appeler,[-1.40587388]
47,appelé,[-2.81492149]
48,appris,[-1.29565716]
49,approuvé,[1.92904324]
50,après,[0.65074696]
51,aprèsmidi,[0.45355675]
52,arabe,[-1.44181372]
53,arabes,[-0.9289558]
54,argent,[-0.34512025]
55,arriver,[0.06186647]
56,arrivé,[1.47346696]
57,arrière,[-0.8360045]
58,arrêtait,[0.20346975]
59,arrêté,[-1.06153559]
60,asile,[-0.0739183]
61,asseoir,[2.05949759]
62,assez,[-2.81735313]
63,assez longtemps,[-0.72300402]
64,assis,[2.47567274]
65,atil,[5.61914435]
66,atil ajouté,[4.33222778]
67,atil dit,[0.52236801]
68,attendais,[2.50794704]
69,attendre,[2.14192027]
70,attendu,[0.45713453]
71,attention,[1.32649777]
72,aube,[2.35024908]
73,aucun,[1.60505164]
74,aucune,[-3.10647586]
75,aucune importance,[-0.53916742]
76,audessus,[-1.95391579]
77,audience,[3.24696685]
78,aujourd,[-1.92228521]
79,aujourd hui,[-1.92228521]
80,aumônier,[5.36607861]
81,aussi,[2.23429168]
82,aussitôt,[1.37069612]
83,autant,[0.75165596]
84,autobus,[-3.5582856]
85,automate,[0.47070876]
86,autour,[-0.76239029]
87,autre,[5.05713739]
88,autre chose,[-0.64772167]
89,autre question,[2.48876447]
90,autres,[-1.48962529]
91,avant,[-1.83393895]
92,avançait,[-1.54649043]
93,aveuglante,[-2.50957662]
94,avis,[-0.81032776]
95,avocat,[10.63201068]
96,avocat général,[3.79612488]
97,avocat venu,[1.82578391]
98,bain,[1.89338463]
99,banc,[1.19661377]
100,bandeau,[-1.33125909]
101,barreaux,[4.54163056]
102,battu,[-2.42485167]
103,battue,[-3.71396366]
104,beau,[-2.34217945]
105,beaucoup,[-2.25212836]
106,beaucoup plus,[1.26223876]
107,belle,[-1.82587874]
108,bien,[5.47805905]
109,bizarre,[1.22521958]
110,bière,[-6.297605]
111,blanche,[-3.93044197]
112,blanches,[0.42468164]
113,blancs,[-0.11262362]
114,bleu,[-4.96905033]
115,bois,[0.33505716]
116,bon,[-0.68090237]
117,bonne,[1.91617301]
118,bord,[-1.02892098]
119,bouche,[-2.32351997]
120,bout,[1.66482152]
121,bout moment,[-2.4749557]
122,bras,[-2.38807889]
123,brillants,[-2.34214083]
124,bruit,[-1.33699801]
125,bruits,[1.76142777]
126,brusquement,[0.16717173]
127,bu,[-2.03435166]
128,bureau,[-3.27256029]
129,cabanon,[-2.7445497]
130,café,[-4.831258]
131,calme,[2.98641551]
132,camion,[-0.86292092]
133,canne,[-2.53318259]
134,car,[2.19814828]
135,cas,[2.72217816]
136,cause,[-1.42329033]
137,celle,[2.31305122]
138,cellule,[4.76845202]
139,celui,[-1.94462462]
140,celuici,[4.40710769]
141,celuilà,[-0.03229992]
142,cependant,[-0.35061316]
143,certaine,[0.03968364]
144,certainement,[-0.94962446]
145,ceux,[1.61321547]
146,chacun,[1.20573692]
147,chaise,[-2.46990249]
148,chaises,[-2.66258663]
149,chaleur,[-0.15845635]
150,chambre,[-2.34020949]
151,chance,[1.36692351]
152,changer,[1.59727136]
153,changé,[-1.94217728]
154,chapeau,[1.39083955]
155,chaque,[-0.52027242]
156,chaque fois,[-0.09168496]
157,chaque objet,[0.29409757]
158,charogne,[-2.9005074]
159,chaud,[-1.74776568]
160,chauffe,[-3.77060562]
161,chemise,[1.13476771]
162,chercher,[1.81858703]
163,cherché,[-1.30349633]
164,cheveux,[-0.12784166]
165,chez,[-4.47783837]
166,chez céleste,[-1.66431121]
167,chien,[-3.9015396]
168,chiens,[-0.98240661]
169,chose,[-1.5377445]
170,choses,[2.3310038]
171,ciel,[-2.59549512]
172,cigarette,[-1.16547635]
173,cigarettes,[1.90110716]
174,cinq,[0.98497129]
175,cinémas,[-1.97611825]
176,circonstances,[0.72429994]
177,coin,[0.11179722]
178,combien,[2.59214551]
179,comme,[-0.42598913]
180,comme si,[2.47051572]
181,comme tout,[3.45689352]
182,comme tout monde,[3.45689352]
183,commencer,[0.71087829]
184,commencé,[0.30605666]
185,comment,[3.19570869]
186,commençait,[0.25430265]
187,comprenais,[1.40732285]
